
========================================
  IMU Diagnostic - Raw Data Output
========================================

[1] Checking IMU connection...
Version:1.0.0
[2] IMU found! Initializing...
[3] Streaming sensor data...

Rotate the IMU and observe the output.

----------------------------------------------------------------------------------------------------------------------------------------
TIME	RAW_MAG_X	RAW_MAG_Y	RAW_MAG_Z	EULER_YAW		QUAT_W		QUAT_X		QUAT_Y		QUAT_Z
----------------------------------------------------------------------------------------------------------------------------------------
3264	18.7506		1.7090		-41.7737		-4.9012		-0.997375		0.001575		0.002518		0.042834
3371	18.7506		2.2706		-42.0911		-4.9841		-0.997345		0.003045		0.002604		0.043561
3479	18.7506		2.0264		-42.0179		-4.9493		-0.997360		0.002114		0.002571		0.043255
3587	18.7506		1.9532		-41.7981		-4.9735		-0.997345		0.002418		0.002572		0.043467
3695	18.7506		1.6114		-41.8470		-4.9491		-0.997360		0.001740		0.002496		0.043252
3803	18.7506		1.8311		-41.7005		-4.9390		-0.997360		0.001877		0.002566		0.043195
3911	18.7506		1.9288		-41.7249		-4.9018		-0.997375		0.001397		0.002499		0.042838
4019	18.7506		1.6358		-41.6761		-4.8969		-0.997375		0.001420		0.002588		0.042795
4127	18.7506		1.8799		-41.7249		-4.8688		-0.997391		0.001244		0.002522		0.042550
4235	19.5563		1.7090		-41.6028		-4.9032		-0.997375		0.001929		0.002618		0.042852
4343	18.7506		1.6846		-41.9202		-4.8607		-0.997391		0.001242		0.002817		0.042479
4451	18.7506		1.7090		-41.5784		-4.8628		-0.997391		0.001502		0.002557		0.042498
4559	18.7506		1.5381		-41.7981		-4.7967		-0.997421		0.000705		0.002539		0.041919
4667	18.7506		1.1231		-41.8714		-4.6838		-0.997467		-0.000437		0.002379		0.040930
4775	18.7506		1.3916		-41.7493		-4.6021		-0.997498		-0.000710		0.002331		0.040215
4883	18.7506		2.2950		-41.4808		-4.7102		-0.997452		0.002268		0.002906		0.041168
4991	18.7506		1.9532		-41.4319		-4.7724		-0.997421		0.002921		0.002813		0.041685
5099	18.7506		1.4893		-41.6761		-4.7029		-0.997452		0.001578		0.002566		0.041102
5207	18.7506		1.2696		-41.5052		-4.6025		-0.997498		0.000193		0.002447		0.040221
5315	18.7506		1.8555		-41.4808		-4.5896		-0.997498		0.000968		0.002709		0.040111
5423	18.7506		1.7823		-41.5052		-4.5733		-0.997498		0.002631		0.002580		0.039973
5531	18.7506		1.6358		-41.9446		-4.6622		-0.997467		0.001261		0.002603		0.040746
5639	18.7506		1.7579		-41.3343		-4.6043		-0.997498		0.001453		0.000662		0.040212
5747	18.7506		1.8311		-41.4319		-4.9221		-0.997360		0.002594		0.005718		0.043025
5855	18.7506		1.6602		-42.0667		-5.2823		-0.997223		-0.000571		0.004278		0.046154
5963	18.7506		2.1729		-41.9691		-5.9096		-0.996964		0.001929		0.000919		0.051637
6071	19.6539		2.8077		-41.6028		-7.2653		-0.996277		0.003136		-0.000116		0.063465
6179	18.7506		2.8077		-41.6028		-9.0208		-0.995270		0.009808		0.001968		0.078775
6287	18.7506		3.7355		-42.0423		-11.0827		-0.993607		-0.000116		-0.002491		0.096724
6395	18.7506		4.2238		-41.5296		-13.7518		-0.991058		-0.005358		-0.001785		0.119926
6503	18.7506		5.2248		-41.8958		-17.4619		-0.986649		-0.003370		-0.000692		0.152042
6611	12.5004		6.1769		-41.5540		-21.0776		-0.981354		-0.003006		-0.001185		0.183193
6719	12.5004		7.2268		-41.6272		-24.7787		-0.974899		-0.000901		0.002546		0.214879
6827	12.5004		8.1301		-42.0179		-29.5704		-0.966003		-0.002163		0.002080		0.251904
6935	12.5004		9.5950		-41.8226		-34.1261		-0.954056		-0.005962		0.003622		0.293816
7043	12.5004		10.8158		-41.7249		-38.2610		-0.942810		-0.004889		0.001031		0.328155
7151	12.5004		11.8412		-42.1400		-41.5355		-0.933029		-0.003692		-0.001676		0.355034
7259	12.5004		12.0853		-42.3597		-44.4639		-0.923615		-0.005513		-0.001236		0.378822
7367	12.5004		12.6225		-41.8958		-47.0322		-0.915756		-0.003339		-0.001468		0.399470
7475	6.2502		13.1108		-41.8470		-50.2077		-0.904648		-0.005165		0.000371		0.422132
7583	6.2502		14.2827		-42.1888		-54.0132		-0.888779		-0.008686		0.002206		0.454541
7691	6.2502		15.0884		-42.1155		-58.0143		-0.872360		-0.003444		-0.003138		0.485353
7799	6.2502		15.4546		-42.0423		-60.7593		-0.860474		-0.001509		-0.003969		0.506138
7907	8.6917		15.4057		-42.2620		-63.2979		-0.849030		-0.002671		-0.002078		0.525112
8015	6.2502		16.1626		-41.9202		-66.0733		-0.837463		-0.000807		-0.001749		0.545547
8123	6.2502		16.7241		-42.0179		-69.0099		-0.821777		-0.000008		-0.003256		0.566813
8231	0.0000		16.4312		-42.3841		-71.6433		-0.808517		0.000316		-0.005320		0.585556
8339	0.0000		16.7730		-42.0179		-74.6492		-0.792877		-0.000880		-0.001284		0.606601
8447	0.0000		17.0171		-42.1155		-77.9436		-0.775101		0.000237		-0.002414		0.629156
8555	0.0000		16.9195		-42.4574		-81.4817		-0.755295		0.000719		-0.001750		0.652800
8663	0.0000		17.3589		-42.2864		-85.0068		-0.734848		0.001147		-0.001374		0.675732
8771	0.0000		17.3589		-42.0667		-88.7214		-0.712555		0.003413		-0.002187		0.699196
8879	-6.2502		17.3101		-42.0911		-92.3158		-0.690262		0.003757		-0.004639		0.721188
8987	-6.2502		17.5298		-42.3841		-95.5327		-0.669769		0.001223		-0.003118		0.740283
9094	-6.2502		16.8462		-41.9691		-99.5778		-0.643234		-0.000629		-0.000055		0.763456
9202	-6.2502		16.2847		-42.2132		-103.4186		-0.619446		0.002796		-0.002443		0.782872
9310	-6.2502		16.1870		-42.3109		-106.4114		-0.596603		0.004805		-0.003910		0.800399
9418	-12.5004		15.5278		-42.2620		-109.7240		-0.573242		0.006542		-0.002290		0.817296
9526	-12.5004		15.6011		-42.2620		-113.1975		-0.548218		0.008733		-0.001801		0.834269
9634	-12.5004		15.3569		-41.9935		-117.3114		-0.517960		0.008532		-0.000472		0.853382
9742	-12.5004		14.4292		-42.0423		-121.4663		-0.486783		0.003939		-0.001846		0.871580
9850	-12.5004		13.2084		-42.3841		-125.4803		-0.459007		0.004082		-0.000197		0.886522
9958	-12.5004		12.9154		-42.1155		-129.2201		-0.426865		-0.000987		0.001600		0.902445
10066	-12.5004		11.6459		-42.0423		-132.3942		-0.401756		0.003283		-0.000643		0.913895
10174	-18.7506		11.4750		-41.8714		-135.3092		-0.378433		0.005911		0.001002		0.923785
