
========================================
  IMU Diagnostic - Raw Data Output
========================================

[1] Checking IMU connection...
Version:1.0.0
[2] IMU found! Initializing...
[3] Streaming sensor data...

Rotate the IMU and observe the output.

--------------------------------------------------------------------------------
TIME	RAW_MAG_X	RAW_MAG_Y	RAW_MAG_Z	EULER_YAW	QUAT_W		QUAT_Z
--------------------------------------------------------------------------------
1207	18.7506		1.7823		-41.4319		-5.3299		0.997223		-0.046575
1314	18.7506		1.8555		-41.5540		-5.3718		0.997208		-0.046941
1422	18.7506		2.1973		-41.7493		-5.4774		0.997162		-0.047862
1529	18.7506		1.9532		-41.9446		-5.5555		0.997116		-0.048544
1637	18.7506		1.9288		-41.5784		-5.6128		0.997101		-0.049044
1744	18.7506		1.6358		-41.2610		-5.6200		0.997103		-0.049107
1851	18.7506		1.3916		-41.6028		-5.5293		0.997131		-0.048317
1958	18.7506		1.4893		-41.6028		-5.4403		0.997162		-0.047541
2065	18.7506		1.4893		-41.6272		-5.4423		0.997162		-0.047558
2173	18.7506		1.3672		-41.9202		-5.4175		0.997184		-0.047341
2281	18.7506		1.2452		-41.7005		-5.3849		0.997192		-0.047137
2388	18.7506		1.4405		-41.4808		-5.3300		0.997208		-0.046578
2496	18.7506		1.6602		-41.9691		-5.3371		0.997208		-0.046638
2604	18.7506		1.5625		-41.4808		-5.3710		0.997192		-0.046934
2712	19.6051		1.9532		-41.1878		-5.3929		0.997192		-0.047125
2820	18.7506		1.4893		-41.3343		-5.3660		0.997192		-0.046918
2928	18.7506		1.3672		-41.7005		-5.3342		0.997208		-0.046613
3036	18.7506		1.0987		-41.7493		-5.2667		0.997238		-0.046027
3144	18.7506		1.5137		-41.4563		-5.1964		0.997269		-0.045415
3251	18.7506		1.9776		-41.5540		-5.4395		0.997177		-0.047532
3358	18.7506		1.7090		-41.5784		-6.2859		0.996841		-0.053942
3465	18.7506		2.5391		-41.5784		-7.9696		0.995865		-0.069610
3573	18.7506		3.4425		-41.8226		-10.5192		0.994080		-0.091821
3680	18.7506		4.1505		-41.7737		-13.0618		0.991760		-0.113928
3787	18.7506		4.7365		-41.7005		-15.2597		0.989655		-0.131054
3895	12.5004		5.7375		-41.6028		-17.9014		0.986053		-0.155844
4003	12.5004		6.5920		-41.3587		-20.9189		0.981598		-0.181832
4111	12.5004		6.9094		-41.2122		-23.8382		0.976608		-0.206843
4219	17.5542		7.5930		-41.4319		-26.2433		0.972061		-0.227364
4327	12.5004		7.9104		-41.6272		-29.3233		0.966217		-0.250921
4435	12.5004		8.4719		-41.9935		-31.8967		0.959549		-0.275210
4543	12.5004		9.2532		-41.7737		-34.2496		0.953674		-0.294910
4651	12.5004		9.6438		-41.9202		-36.5204		0.947662		-0.313784
4758	15.0884		10.7181		-41.8226		-39.4045		0.939423		-0.337607
4865	12.5004		11.3773		-42.3109		-42.9889		0.929443		-0.364173
4973	12.5004		12.0365		-41.7493		-46.3270		0.917297		-0.393824
5080	12.5004		12.4516		-42.0667		-49.6304		0.905533		-0.420148
5187	11.6459		14.0385		-42.0179		-53.2829		0.891602		-0.448893
5294	6.2502		14.2338		-41.7981		-57.6540		0.875534		-0.479427
5402	6.2502		14.8198		-42.2376		-60.7705		0.860413		-0.506208
5510	6.2502		15.4546		-41.8226		-63.3474		0.848770		-0.525486
5617	6.2502		16.0161		-42.1888		-65.1901		0.840149		-0.539099
5724	6.2502		16.3579		-42.0911		-67.6565		0.829193		-0.555886
5832	6.2502		16.6753		-42.0179		-68.5884		0.823853		-0.563784
5940	0.0000		16.1626		-41.8226		-70.4163		0.814728		-0.576853
6047	0.0000		16.7730		-42.0423		-73.2945		0.799988		-0.597165
6154	0.0000		17.0171		-42.2620		-75.6823		0.788254		-0.613699
6262	0.0000		17.2613		-41.9691		-76.7887		0.781921		-0.620562
6370	0.0000		17.4566		-41.6272		-77.8730		0.775436		-0.628450
6477	0.0000		17.1392		-42.1888		-77.7949		0.775879		-0.628035
6584	3.6378		16.6509		-42.6038		-77.9273		0.775162		-0.628954
6691	0.0000		16.6021		-42.5550		-77.9789		0.774780		-0.629504
6799	0.0000		17.1148		-42.3109		-77.9200		0.775223		-0.628994
6906	0.0000		16.8218		-42.5062		-77.9821		0.774887		-0.629398
7014	0.0000		17.1392		-42.2620		-78.0889		0.774292		-0.630109
7122	0.0000		17.4322		-42.0667		-78.1920		0.773736		-0.630830
7230	0.0000		17.0660		-42.2620		-78.1796		0.773727		-0.630835
7338	0.0000		16.8462		-42.2132		-78.2762		0.773270		-0.631388
7445	0.0000		17.0660		-42.3109		-78.5190		0.771851		-0.633009
7552	0.0000		16.7486		-42.0911		-79.8753		0.764236		-0.642131
7659	0.0000		17.7984		-42.0179		-83.8994		0.744308		-0.665297
7766	0.0000		17.6031		-42.1155		-89.0453		0.710556		-0.701189
7874	-6.2502		17.7007		-42.1400		-92.9109		0.686310		-0.724701
7981	-6.2502		17.3101		-42.2376		-96.6749		0.662292		-0.746888
8089	-6.2502		17.1636		-42.2620		-100.7077		0.638229		-0.769746
8197	-6.2502		16.3335		-42.3109		-105.2680		0.604553		-0.794419
8304	-12.5004		16.5288		-41.8958		-111.0045		0.564102		-0.823649
